alpha,AMP_mean,AMP_std
0.075,0.8712539200775143,0.02186756754259972
0.1,0.7986043250448727,0.008665952835291226
0.125,0.7299201250086098,0.018478863407219166
0.15,0.6514648648531352,0.016632466355410748
0.175,0.6005340672868947,0.01245668552543607
0.2,0.5381041309299426,0.009305078220639454
0.225,0.47821801272823,0.007471245797808501
0.25,0.42911302626562003,0.005512003088774011
0.275,0.38571365624973747,0.0091581373369779
0.3,0.3485648947051891,0.0034214619785057853
0.325,0.3147485226685288,0.003770612707566634
0.35,0.28205383834186376,0.0035573530880732888
0.375,0.25561787076671344,0.006138857559882388
0.4,0.23707681997835728,0.0029993385583185384
0.425,0.21703956769043292,0.002426660068749252
0.45,0.19816080585373808,0.00206682097194395
0.475,0.18505023318599767,0.0034593289212763428
0.5,0.1728838874318005,0.002963887488680867
