alpha,AMP_mean,AMP_std
0.07500000000000001,0.831802743459489,0.04810460342869796
0.1,0.7320577845845866,0.025035385992398577
0.12500000000000003,0.6648153853351894,0.02838786800705127
0.15000000000000002,0.5787332724936305,0.033452849152756085
0.17500000000000004,0.4921881560260629,0.031047753220981796
0.20000000000000004,0.4184109807155514,0.023582713287529117
0.22500000000000006,0.33715455966645547,0.016134086288022882
0.25000000000000006,0.27236772498081896,0.02114540053425844
0.275,0.19312282006506976,0.012621699432370863
0.30000000000000004,0.13695115320056844,0.00481551731845491
0.32500000000000007,0.08905118583921422,0.008020514856908918
0.3500000000000001,0.04143301973142749,0.0027227609804876
0.3750000000000001,0.01680181317828225,0.003263220013482421
0.40000000000000013,0.004498030969868544,0.0007570307035149314
0.42500000000000004,0.001170960984981967,0.00015967955588674785
0.45000000000000007,0.00037861659672689546,7.136779988165604e-05
0.4750000000000001,0.00027312516596502247,3.7509661126590346e-05
0.5000000000000001,0.00015082251454989694,1.9295358257876247e-05
