alpha,AMP_mean,AMP_std
0.07500000000000001,0.8638765401856017,0.017260954775624008
0.1,0.8308648235474378,0.030298714147537084
0.12500000000000003,0.7355573786140817,0.054717392894582356
0.15000000000000002,0.6607896287076003,0.03199353715115722
0.17500000000000004,0.6088253294580618,0.030387404597335313
0.20000000000000004,0.5387785443225979,0.015894265853918673
0.22500000000000006,0.4910138722097413,0.01434003442554677
0.25000000000000006,0.4480165589766397,0.017073345187535265
0.275,0.3983573591760431,0.015326038733179895
0.30000000000000004,0.34907516437413527,0.018352196920003103
0.32500000000000007,0.3253188409225877,0.013062718150160187
0.3500000000000001,0.2933059448535789,0.013924061861325977
0.3750000000000001,0.26722861807465764,0.005766454281777736
0.40000000000000013,0.2446916095621514,0.010805416432370157
0.42500000000000004,0.21885284926266793,0.008023908972205725
0.45000000000000007,0.20211897364501513,0.006845549467504977
0.4750000000000001,0.19686570721797603,0.008151035404467412
0.5000000000000001,0.17447008067686753,0.0032102228518439855
