,alpha,gen_error
0,0.001,0.9982589664439209
1,0.004929133858267717,0.9910998002684432
2,0.008858267716535435,0.9837840116254188
3,0.01278740157480315,0.976282267946851
4,0.01671653543307087,0.9685923297206914
5,0.020645669291338584,0.9607140835521413
6,0.024574803149606302,0.9526485802715869
7,0.02850393700787402,0.9443978967168163
8,0.032433070866141736,0.9359651053838588
9,0.03636220472440945,0.927354254046149
10,0.040291338582677166,0.9185703341159479
11,0.04422047244094489,0.9096192328856791
12,0.048149606299212604,0.9005076699091389
13,0.05207874015748032,0.8912431199044495
14,0.05600787401574804,0.8818337255292614
15,0.059937007874015756,0.8722882037154397
16,0.06386614173228347,0.862615749168354
17,0.0677952755905512,0.8528259382711187
18,0.0717244094488189,0.8429286360985638
19,0.07565354330708662,0.8329339086340353
20,0.07958267716535433,0.8228519416681574
21,0.08351181102362205,0.8126929672962334
22,0.08744094488188978,0.8024671984491039
23,0.09137007874015748,0.7921847715054079
24,0.0952992125984252,0.7818556967422164
25,0.09922834645669293,0.7714898161756348
26,0.10315748031496064,0.7610967682139579
27,0.10708661417322836,0.7506859584751375
28,0.11101574803149608,0.7402665360956683
29,0.11494488188976379,0.729847374864845
30,0.11887401574803151,0.7194370585474673
31,0.12280314960629922,0.7090438698022912
32,0.12673228346456694,0.6986757821593989
33,0.13066141732283465,0.6883404545834063
34,0.13459055118110239,0.6780452282140702
35,0.1385196850393701,0.6677971249333181
36,0.1424488188976378,0.6576028474502082
37,0.14637795275590554,0.6474687806220111
38,0.15030708661417325,0.6374009937498608
39,0.15423622047244095,0.6274052436173492
40,0.15816535433070866,0.6174869780938075
41,0.1620944881889764,0.6076513402009718
42,0.1660236220472441,0.5979031726229601
43,0.16995275590551182,0.5882470226910355
44,0.17388188976377955,0.5786871478662368
45,0.17781102362204726,0.5692275216659769
46,0.18174015748031497,0.559871839863762
47,0.1856692913385827,0.5506235266924332
48,0.1895984251968504,0.5414857407676403
49,0.19352755905511812,0.5324613805601973
50,0.19745669291338586,0.5235530894715813
51,0.20138582677165356,0.5147632608346078
52,0.20531496062992127,0.5060940433608326
53,0.209244094488189,0.49754734758268654
54,0.21317322834645672,0.4891248536369918
55,0.21710236220472443,0.4808280203406285
56,0.22103149606299216,0.47265809503178347
57,0.22496062992125987,0.4646161232620743
58,0.22888976377952758,0.4567029572847332
59,0.23281889763779529,0.44891926248686925
60,0.23674803149606302,0.44126552144411424
61,0.24067716535433073,0.43374203600475847
62,0.24460629921259844,0.4263489285283748
63,0.24853543307086617,0.4190859616154077
64,0.2524645669291339,0.41195310280113223
65,0.2563937007874016,0.40494994027241005
66,0.2603228346456693,0.39807597179484755
67,0.264251968503937,0.39133056056406473
68,0.26818110236220477,0.3847129426910151
69,0.2721102362204725,0.3782222346517702
70,0.2760393700787402,0.3718574406835888
71,0.2799685039370079,0.3656174601089565
72,0.2838976377952756,0.35950109456929613
73,0.2878267716535433,0.3535058714869633
74,0.2917559055118111,0.34763253846043
75,0.2956850393700788,0.34188038809492605
76,0.2996141732283465,0.3362447921196564
77,0.3035433070866142,0.330725598811527
78,0.3074724409448819,0.3253211683890042
79,0.3114015748031496,0.32002981007248765
80,0.3153307086614173,0.31484978801269486
81,0.3192598425196851,0.3097793269989834
82,0.3231889763779528,0.3048166179393829
83,0.3271181102362205,0.2999598231054262
84,0.3310472440944882,0.2952070811363369
85,0.3349763779527559,0.2905565117986595
86,0.33890551181102363,0.28600622049928043
87,0.3428346456692914,0.2815543025517827
88,0.3467637795275591,0.2771988471980183
89,0.3506929133858268,0.2729379413879701
90,0.3546220472440945,0.2687696733211563
91,0.3585511811023622,0.2646921357516974
92,0.36248031496062993,0.2607034290575755
93,0.3664094488188977,0.2568016640737533
94,0.3703385826771654,0.25298496469014975
95,0.3742677165354331,0.2492514702198643
96,0.3781968503937008,0.24559933754994337
97,0.38212598425196853,0.2420267430943078
98,0.38605511811023624,0.23853188457327065
99,0.38998425196850395,0.2351129826434235
100,0.3939133858267717,0.231768282394351
101,0.3978425196850394,0.2284960547157828
102,0.40177165354330713,0.22529459752390446
103,0.40570078740157484,0.2221622368237747
104,0.40962992125984254,0.219097327580799
105,0.41355905511811025,0.2160982543809141
106,0.417488188976378,0.2131634318761724
107,0.4214173228346457,0.21029130503624288
108,0.42534645669291343,0.20748034925080383
109,0.42927559055118114,0.20472907034624171
110,0.43320472440944885,0.20203597058190223
111,0.43713385826771656,0.19939967387056162
112,0.4410629921259843,0.1968187557799584
113,0.44499212598425203,0.1942918470232837
114,0.44892125984251974,0.19181760938756165
115,0.45285039370078745,0.1893947355503989
116,0.45677952755905515,0.1870219488445538
117,0.46070866141732286,0.18469800297562175
118,0.46463779527559057,0.18242168169781556
119,0.46856692913385833,0.18019173763657748
120,0.47249606299212604,0.17800710248246362
121,0.47642519685039375,0.1758666275936175
122,0.48035433070866146,0.17376934814932385
123,0.48428346456692917,0.17171393080223626
124,0.4882125984251969,0.16969944925933428
125,0.49214173228346464,0.16772488591412896
126,0.49607086614173235,0.1657892496008424
127,0.5,0.16389157506752275
